SL,Question,Answer,Topic,Subtopic,,,,
1,For which league does Bangladeshi expatriate footballer Samit play?, Canadian Premier League,Sports,,,1. For which league does Bangladeshi expatriate footballer Samit play?,1.  Canadian Premier League,1
2,"How many Bangladeshis have conqured the Everest as of May, 2025?", 07 people,Geography,,,"2. How many Bangladeshis have conqured the Everest as of May, 2025?",2.  07 people,2
3,In which year was the first Cricket World Cup held?,1975,Sports,,,3. In which year was the first Cricket World Cup held?,3. 1975,3
4,What is largest organ in human body?, Skin,Science,,,4. What is largest organ in human body?,4.  Skin,4
5,What is the elaboration of NBR?, National Board of Revenue,Abbr,,,5. What is the elaboration of NBR?,5.  National Board of Revenue,5
6,What is the size of the Bangladesh budget for the fiscal year 2025–26?," 7,90,000 crore",Current,,,6. What is the size of the Bangladesh budget for the fiscal year 2025–26?,"6.  7,90,000 crore",6
7,"What is the wrong number in the sequence: 8, 13, 21, 32, 47, 63, 83?",32,Math,,,"7. What is the wrong number in the sequence: 8, 13, 21, 32, 47, 63, 83?",7. 32,7
8,What percent of Grameen Bank is owned by the government?,10%,Current,,,8. What percent of Grameen Bank is owned by the government?,8. 0.1,8
9,What percentage of the Sundarbans is in Bangladesh?,60%,Geography,,,9. What percentage of the Sundarbans is in Bangladesh?,9. 0.6,9
10,When is the World Athletics Day?,07 May,Sports,,,10. When is the World Athletics Day?,10. 45784,10
11,Which country first started an AI-based hospital with 14 AI doctors?, China,Current,,,11. Which country first started an AI-based hospital with 14 AI doctors?,11.  China,11
12,Which country has the greatest military expenditure?, USA,Current,,,12. Which country has the greatest military expenditure?,12.  USA,12
13,Which district is known as the gateway to North Bengal?, Bogura,Geography,,,13. Which district is known as the gateway to North Bengal?,13.  Bogura,13
14,Which division has the highest number of cadet colleges?, Chattogram & Rajshahi (3),Armed Forces,,,14. Which division has the highest number of cadet colleges?,14.  Chattogram & Rajshahi (3),14
15,Which medal was awarded to the Bangladesh Women’s Football Team?, Ekushey Padak,Current,,,15. Which medal was awarded to the Bangladesh Women’s Football Team?,15.  Ekushey Padak,15
16,Which pigment determines the color of skin?, Melanin,Science,,,16. Which pigment determines the color of skin?,16.  Melanin,16
17,Which religion do the Marma people practice?, Buddhism,Religion, Buddhism,,17. Which religion do the Marma people practice?,17.  Buddhism,17
18,Who is known as the founder of mathematics?, Archimedes,Math,,,18. Who is known as the founder of mathematics?,18.  Archimedes,18
19,Who is the first computer programmer in Bangladesh?, Md. Hanif Uddin Mia,ICT,,,19. Who is the first computer programmer in Bangladesh?,19.  Md. Hanif Uddin Mia,19
20,Who is the founder of the Bangla Avro Keyboard?, Mahedi Hasan Khan,ICT,,,20. Who is the founder of the Bangla Avro Keyboard?,20.  Mahedi Hasan Khan,20
21,Who is the current AG of Bangladesh Cadet Colleges?,Major General Md Hakimuzzaman,Current,,,21. Who is the current AG of Bangladesh Cadet Colleges?,21. Major General Md Hakimuzzaman,21
22,Who is the incumbent president of Canada?, Mark Carney,Current,,,22. Who is the incumbent president of Canada?,22.  Mark Carney,22
23,Who serves as the Commander-in-chief of the Bangladesh Armed Forces?, The president of Bangladesh,Armed Forces,,,23. Who serves as the Commander-in-chief of the Bangladesh Armed Forces?,23.  The president of Bangladesh,23
24,"Who wrote the book ""The Government of China""?", Xi Jinping,Art & Literature,,,"24. Who wrote the book ""The Government of China""?",24.  Xi Jinping,24
25,World Environment Day is observed on which date?,5 June,Geography,,,25. World Environment Day is observed on which date?,25. 45813,25
26,Recently in which area of Bangladesh a preliminary testing has detected traces of natural gas?,Tartapara village of Jamalpur's Madarganj Upazila,Current,,,26. Recently in which area of Bangladesh a preliminary testing has detected traces of natural gas?,26. Tartapara village of Jamalpur's Madarganj Upazila,26
27,The country's first monorail is set to be constructed in,Chattogram,Current,,,27. The country's first monorail is set to be constructed in,27. Chattogram,27
28,In which district 56th Public University of Bangladesh will be launched?,Bogura,Current,,,28. In which district 56th Public University of Bangladesh will be launched?,28. Bogura,28
29,What is the size of National Budget for the fiscal year 2025-26?,"Tk 790,000 crore",Current,,,29. What is the size of National Budget for the fiscal year 2025-26?,"29. Tk 790,000 crore",29
30,On which date was Google Pay service officially inaugurated in Bangladesh?,24 June 2025,Current,,,30. On which date was Google Pay service officially inaugurated in Bangladesh?,30. 45832,30
31,Which South Asian country is going to join UN water convention first?,Bangladesh,Current,,,31. Which South Asian country is going to join UN water convention first?,31. Bangladesh,31
32,What is the position of Dhaka University according to QS World University Rankings 2026?,584,Current,,,32. What is the position of Dhaka University according to QS World University Rankings 2026?,32. 584,32
33,On what date US Army's 250 anniversary was held?,14 June 2025,Current,,,33. On what date US Army's 250 anniversary was held?,33. 45822,33
34,What was the codename of Israeli attack against Iran on 13 June 2025?,Operation Rising Lion,Current,,,34. What was the codename of Israeli attack against Iran on 13 June 2025?,34. Operation Rising Lion,34
35,On 2 june 2025 which UN body recognized Palestine as a non-member observer state?,International Labor Organization (ILO),Current,,,35. On 2 june 2025 which UN body recognized Palestine as a non-member observer state?,35. International Labor Organization (ILO),35
36,Which country has opened World's first Al medical clinic?,Saudi Arabia,Current,,,36. Which country has opened World's first Al medical clinic?,36. Saudi Arabia,36
37,Who is the first Indian to travel to the International Space Station?,Shubhanshu Shukla,Science,,,37. Who is the first Indian to travel to the International Space Station?,37. Shubhanshu Shukla,37
38,What is the only nation among 186 that achieves full self-sufficiency in food production according to Nature Food journal?,Guyana,Current,,,38. What is the only nation among 186 that achieves full self-sufficiency in food production according to Nature Food journal?,38. Guyana,38
39,"Which country has the highest deployed nuclear weapon according to Stockholm International Peace Research Institute (SIPRI), 2025?",United States,Current,,,"39. Which country has the highest deployed nuclear weapon according to Stockholm International Peace Research Institute (SIPRI), 2025?",39. United States,39
40,What is the most peaceful country of the world according to Global Peace Index 2025?,Iceland,Current,,,40. What is the most peaceful country of the world according to Global Peace Index 2025?,40. Iceland,40
41,Who won the UEFA Champions League in 2025?,Paris Saint-Germain,Current,,,41. Who won the UEFA Champions League in 2025?,41. Paris Saint-Germain,41
42,Which team won ICC World Test Championship 2023-2025?,South Africa,Current,,,42. Which team won ICC World Test Championship 2023-2025?,42. South Africa,42
43,Who is the President of BCB?,Aminul Islam Bulbul,Current,,,43. Who is the President of BCB?,43. Aminul Islam Bulbul,43
44,What is 'Operation True Promise'?,Codename of Iran's attack against Israel,Current,,,44. What is 'Operation True Promise'?,44. Codename of Iran's attack against Israel,44
45,From which country Bangladesh has started to import Hydroelectricity?,Nepal,,,,45. From which country Bangladesh has started to import Hydroelectricity?,45. Nepal,45
46,How does the bat determine the direction when moving at night?,Through Ultrasonic Sound,Science,,,46. How does the bat determine the direction when moving at night?,46. Through Ultrasonic Sound,46
47,What is the unit of electric current?, The ampere,Science,,,47. What is the unit of electric current?,47.  The ampere,47
48,At which place will the weight of an object be the highest?, At poles,Science,,,48. At which place will the weight of an object be the highest?,48.  At poles,48
49,Who invented laser beam?, Theodore Maiman,Science,,,49. Who invented laser beam?,49.  Theodore Maiman,49
50,Which metal corrodes the fastest?, Zinc,Science,,,50. Which metal corrodes the fastest?,50.  Zinc,50
51,Where is BKSP situated?," At Zirani,  Savar Or only Savar",Sports,,,51. Where is BKSP situated?,"51.  At Zirani,  Savar Or only Savar",51
52,Who is the first asian to cross English Channel?, Brojen Das,Geography,,,52. Who is the first asian to cross English Channel?,52.  Brojen Das,52
53,Who is the first Bangladeshi Grand Master chess player?, Niaz Murshed,Sports,,,53. Who is the first Bangladeshi Grand Master chess player?,53.  Niaz Murshed,53
54,Where was the first verse of the Holy Quran revealed?, The Cave of Hira,Religion,Islam,,54. Where was the first verse of the Holy Quran revealed?,54.  The Cave of Hira,54
55,Which Temple is considered to be the National Temple of Bangladesh?, Dhakeshwari Temple,Religion,Hinduism,,55. Which Temple is considered to be the National Temple of Bangladesh?,55.  Dhakeshwari Temple,55
56,Who is the de-facto head of the Vatican City?, Pope,Religion,Christianity,,56. Who is the de-facto head of the Vatican City?,56.  Pope,56
57,Who is the founder of Sikhism?, Guru Nanok,Religion,Sikhism,,57. Who is the founder of Sikhism?,57.  Guru Nanok,57
58,"The term ""Nirvana"" is related to which religion?", Buddhism,Religion, Buddhism,,"58. The term ""Nirvana"" is related to which religion?",58.  Buddhism,58
59,Where is Sixty dome Mosque located?,Bagerhat.,Religion,Islam,,,,
60,Where is Kantaji Temple situated?,Dinazpur.,Religion,,,,,
61,What is the most ancient Vihara (Buddhist monastery) of Bangladesh?,ShalbonVihara/ Bihar.,Religion,,,,,
62,Which city is regarded as a holy city to all religion?,Jerusalem.,Religion,,,,,
